WorldX,WorldZ,AnalyticGrad,FDGrad,AnalyticHess,FDHess
-0.15404,-0.239899,-0.711271,-0.709012,4.5029,4.82053
-0.14899,-0.239899,-0.717898,-0.716612,2.74458,2.89083
-0.143939,-0.239899,-0.739841,-0.737898,3.49623,4.05312
-0.138889,-0.239899,-0.774521,-0.773199,2.43158,2.89083
-0.133838,-0.239899,-0.764195,-0.762664,3.48281,3.68059
-0.128788,-0.239899,-0.833461,-0.831895,3.14529,3.53903
-0.123737,-0.239899,-0.830496,-0.828877,3.13197,3.62098
-0.118687,-0.239899,-0.858519,-0.857018,3.15165,3.44962
-0.113636,-0.239899,-0.863173,-0.861466,3.56294,3.89665
-0.108586,-0.239899,-0.934993,-0.932984,4.09957,4.45545
-0.103535,-0.239899,-0.942936,-0.940181,4.97153,5.66989
-0.0984849,-0.239899,-0.934393,-0.932448,4.1257,4.24683
-0.0934343,-0.239899,-0.946557,-0.943817,5.40474,5.84125
-0.0883838,-0.239899,-0.937374,-0.934761,5.16357,5.68479
-0.0833333,-0.239899,-0.974025,-0.970967,5.98904,6.56396
-0.0782828,-0.239899,-1.01205,-1.00939,5.24125,5.74812
-0.0732323,-0.239899,-1.10893,-1.10596,5.96754,6.31064
-0.0681818,-0.239899,-1.09101,-1.08805,5.84547,6.26966
-0.0631313,-0.239899,-1.08348,-1.08038,5.98922,6.57141
-0.0580808,-0.239899,-1.13412,-1.13059,6.83554,7.43568
-0.0530303,-0.239899,-1.1998,-1.19577,7.69569,8.42288
-0.0479798,-0.239899,-1.22114,-1.21711,7.82613,8.45268
-0.0429293,-0.239899,-1.18506,-1.18093,8.01421,8.60915
-0.0378788,-0.239899,-1.19057,-1.18604,8.86314,9.41195
-0.0328283,-0.239899,-1.2394,-1.23489,8.78758,9.33744
-0.0277778,-0.239899,-1.24181,-1.23705,9.30485,9.89437
-0.0227273,-0.239899,-1.21827,-1.21287,10.4635,11.1498
-0.0176768,-0.239899,-1.23628,-1.23086,10.5339,11.1934
-0.0126263,-0.239899,-1.28101,-1.27474,12.1788,12.9174
-0.00757576,-0.239899,-1.21779,-1.21155,12.1714,12.8709
-0.00252525,-0.239899,-1.21845,-1.21218,12.2781,12.8448
0.00252525,-0.239899,-1.22427,-1.2175,12.9911,13.9233
0.00757576,-0.239899,-1.1796,-1.173,12.6674,13.5601
0.0126263,-0.239899,-1.21464,-1.20783,13.2151,14.0294
0.0176768,-0.239899,-1.22949,-1.22218,14.0882,14.9757
0.0227273,-0.239899,-1.14835,-1.14135,13.6566,14.3982
0.0277778,-0.239899,-1.17465,-1.16704,14.7417,15.6648
0.0328283,-0.239899,-1.17326,-1.16584,14.5234,15.2141
0.0378788,-0.239899,-1.15991,-1.15234,14.5763,15.3296
0.0429293,-0.239899,-1.11496,-1.10723,15.0984,15.825
0.0479798,-0.239899,-1.10161,-1.09327,15.7767,16.9054
0.0530303,-0.239899,-1.13945,-1.13121,15.8252,16.7489
0.0580808,-0.239899,-1.13026,-1.1215,16.7755,17.9186
0.0631313,-0.239899,-1.17714,-1.16833,16.9762,17.8441
0.0681818,-0.239899,-1.10172,-1.09295,16.9868,17.9782
0.0732323,-0.239899,-1.11524,-1.1062,17.3811,18.3582
0.0782828,-0.239899,-1.03308,-1.02433,17.1056,17.9559
0.0833333,-0.239899,-1.02626,-1.01694,17.6352,18.8574
0.0883838,-0.239899,-1.00369,-0.994608,17.2366,18.2986
0.0934343,-0.239899,-0.925941,-0.917099,17.214,18.0677
0.0984849,-0.239899,-0.876323,-0.866994,17.772,19.0362
0.103535,-0.239899,-0.864455,-0.855267,17.6429,18.6339
0.108586,-0.239899,-0.813858,-0.804529,17.8256,19.0958
0.113636,-0.239899,-0.809595,-0.799641,18.8253,20.3401
0.118687,-0.239899,-0.814929,-0.805169,18.9068,20.0123
0.123737,-0.239899,-0.720771,-0.710994,18.8256,19.7887
0.128788,-0.239899,-0.683027,-0.673756,18.1638,19.0735
0.133838,-0.239899,-0.622795,-0.613302,18.0174,18.9692
0.138889,-0.239899,-0.566019,-0.556216,18.1943,19.8036
0.143939,-0.239899,-0.579583,-0.570029,18.2319,19.1331
0.14899,-0.239899,-0.575303,-0.565708,18.3294,19.3119
0.15404,-0.239899,-0.52067,-0.510737,18.5077,19.744
0.159091,-0.239899,-0.512003,-0.502184,18.7934,19.4907
0.164141,-0.239899,-0.461597,-0.45155,19.0147,20.4742
0.169192,-0.239899,-0.454472,-0.444353,19.2386,20.4444
0.174242,-0.239899,-0.448954,-0.438452,20.1077,21.2491
0.179293,-0.239899,-0.375378,-0.365391,19.4055,19.8781
0.184343,-0.239899,-0.332184,-0.322387,18.482,19.6248
0.189394,-0.239899,-0.351354,-0.341177,19.127,20.355
0.194444,-0.239899,-0.318098,-0.308022,19.4708,20.2209
0.199495,-0.239899,-0.273682,-0.263393,19.6311,21.0255
0.204545,-0.239899,-0.211564,-0.201553,19.6259,20.5189
0.209596,-0.239899,-0.143182,-0.132948,19.839,20.5189
0.214646,-0.239899,-0.0858217,-0.0748783,20.9309,21.9196
0.219697,-0.239899,-0.0554908,-0.04372,22.5611,23.4544
0.224747,-0.239899,0.0289928,0.0403672,22.6068,23.1266
0.229798,-0.239899,0.0511683,0.0628233,22.7986,23.8419
0.234848,-0.239899,0.0857648,0.09799,24.0145,24.6316
0.239899,-0.239899,0.153029,0.164866,22.7798,23.6332
0.244949,-0.239899,0.222372,0.233307,21.2436,21.8153
0.25,-0.239899,0.225927,0.234142,17.7736,17.4195
-0.25,-0.234848,-0.493307,-0.485994,10.8969,14.618
